trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.5, 'e': 0.625000000000008}",25,0,-32.76342978319985,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.622500000000008}",30,0,-104.0520759091795,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.6200000000000081}",20,0,-22.43775296501745,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.6175000000000082}",25,0,-47.592578817507615,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.6150000000000082}",20,1,-23.250119604591955,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.6125000000000083}",30,13,-18.100160261701216,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.6100000000000083}",35,0,-56.34967279795403,"{0: 29, 1: 2, 2: 2, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.6075000000000084}",20,0,-49.39686629900271,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.6050000000000084}",25,0,-72.74933771700738,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.6025000000000085}",20,10,-35.60209042350743,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.6000000000000085}",30,18,-0.5910390256083349,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.5975000000000086}",25,0,-66.55679545443472,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.5950000000000086}",30,20,-25.29957045270535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.5925000000000087}",20,12,13.05849342135366,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.5900000000000087}",20,0,-45.98074486547581,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.5875000000000088}",30,0,-162.692264197562,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.5850000000000088}",25,3,14.712651483305072,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.5825000000000089}",25,0,4.655093064279745,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.580000000000009}",20,11,-12.300903991092907,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.577500000000009}",35,3,-226.05659661997356,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 4}",1
170,False,"{'a': 0.5, 'e': 0.5750000000000091}",30,21,7.1524384346294685,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.5725000000000091}",20,0,2.783322744588041,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.5700000000000092}",25,0,-47.50700124000896,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.5675000000000092}",25,0,-103.0593204678644,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.5650000000000093}",30,13,-49.39397014215052,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.5625000000000093}",20,0,-51.446380366536594,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.5600000000000094}",25,3,-29.362407186454423,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.5575000000000094}",20,1,5.502212783847344,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.5550000000000095}",25,6,10.887418065542139,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.5525000000000095}",20,10,-72.38397791519517,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.5500000000000096}",30,0,-137.53582658084852,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.5475000000000096}",20,4,-32.5317089346348,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.5450000000000097}",30,13,-116.56795908193686,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
183,False,"{'a': 0.5, 'e': 0.5425000000000098}",35,26,21.25276403308144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.5400000000000098}",30,0,-187.32188879624422,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
185,False,"{'a': 0.5, 'e': 0.5375000000000099}",35,0,-112.17671290751386,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
186,False,"{'a': 0.5, 'e': 0.5350000000000099}",20,0,-10.811105211025351,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.53250000000001}",20,0,-29.556049047382775,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
188,False,"{'a': 0.5, 'e': 0.53000000000001}",20,0,-78.97729690422997,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
189,False,"{'a': 0.5, 'e': 0.5275000000000101}",30,19,-46.41281241904402,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.5250000000000101}",25,0,-47.732165124287015,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.5225000000000102}",30,15,-29.67703355810635,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.5200000000000102}",20,3,16.17360973689437,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.5175000000000103}",20,0,-70.07340493684923,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
194,False,"{'a': 0.5, 'e': 0.5150000000000103}",20,0,-30.65865402970787,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.5125000000000104}",20,0,-96.16127546751957,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
196,False,"{'a': 0.5, 'e': 0.5100000000000104}",20,0,-8.581901560433277,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.5075000000000105}",25,0,-203.04740431704838,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 5}",0
198,False,"{'a': 0.5, 'e': 0.5050000000000106}",30,0,-22.030893239984444,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.5025000000000106}",20,0,-2.923186908343359,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.5000000000000107}",20,2,-18.34542361859943,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.49750000000001066}",20,0,-53.693385557725605,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.49500000000001065}",20,6,-42.90577681738929,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.49250000000001065}",25,7,-18.30510801731106,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.49000000000001065}",30,0,-159.84789326156192,"{0: 22, 1: 1, 2: 1, 3: 3, 4: 3}",1
205,False,"{'a': 0.5, 'e': 0.48750000000001065}",20,5,-44.27418166104918,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
206,False,"{'a': 0.5, 'e': 0.48500000000001064}",25,16,-6.975190639964558,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.48250000000001064}",30,0,-1.205369364828978,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 0.48000000000001064}",25,5,-21.740264831365973,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.47750000000001064}",25,0,-23.390262737373977,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.47500000000001064}",20,0,-16.10665791953333,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
211,False,"{'a': 0.5, 'e': 0.47250000000001063}",20,1,-53.006468873328316,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.47000000000001063}",20,6,-0.5275962224811996,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.46750000000001063}",20,6,-18.664090345805388,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.4650000000000106}",20,0,-24.830845922496994,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
215,False,"{'a': 0.5, 'e': 0.4625000000000106}",25,0,-107.12167513939661,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
216,False,"{'a': 0.5, 'e': 0.4600000000000106}",30,13,10.317992507087382,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.4575000000000106}",20,0,-106.14403838951867,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
